Node,X,Y
        1., -0.25000000E-02,  0.00000000E+00,  0.50000000E-02
        2.,  0.25000000E-02,  0.30616170E-18,  0.50000000E-02
        3., -0.20225425E-02, -0.14694631E-02,  0.50000000E-02
        4., -0.77254249E-03, -0.23776413E-02,  0.50000000E-02
        5.,  0.77254249E-03, -0.23776413E-02,  0.50000000E-02
        6.,  0.20225425E-02, -0.14694631E-02,  0.50000000E-02
        7.,  0.25000000E-02,  0.30616170E-18,  0.25000000E-02
        8.,  0.25000000E-02,  0.30616170E-18,  0.37500000E-02
        9., -0.25000000E-02,  0.00000000E+00,  0.25000000E-02
       10.,  0.20225425E-02, -0.14694631E-02,  0.25000000E-02
       11.,  0.77254249E-03, -0.23776413E-02,  0.25000000E-02
       12., -0.77254249E-03, -0.23776413E-02,  0.25000000E-02
       13., -0.20225425E-02, -0.14694631E-02,  0.25000000E-02
       14., -0.25000000E-02,  0.00000000E+00,  0.37500000E-02
       15.,  0.35000000E-02,  0.42862638E-18,  0.50000000E-02
       16., -0.35000000E-02,  0.00000000E+00,  0.50000000E-02
       17.,  0.30310889E-02,  0.17500000E-02,  0.50000000E-02
       18.,  0.17500000E-02,  0.30310889E-02,  0.50000000E-02
       19.,  0.21431319E-18,  0.35000000E-02,  0.50000000E-02
       20., -0.17500000E-02,  0.30310889E-02,  0.50000000E-02
       21., -0.30310889E-02,  0.17500000E-02,  0.50000000E-02
       22.,  0.35000000E-02,  0.42862638E-18,  0.25000000E-02
       23.,  0.35000000E-02,  0.42862638E-18,  0.37500000E-02
       24., -0.35000000E-02,  0.00000000E+00,  0.25000000E-02
       25.,  0.30310889E-02,  0.17500000E-02,  0.25000000E-02
       26.,  0.17500000E-02,  0.30310889E-02,  0.25000000E-02
       27.,  0.21431319E-18,  0.35000000E-02,  0.25000000E-02
       28., -0.17500000E-02,  0.30310889E-02,  0.25000000E-02
       29., -0.30310889E-02,  0.17500000E-02,  0.25000000E-02
       30., -0.35000000E-02,  0.00000000E+00,  0.37500000E-02
       31.,  0.11660254E-01, -0.50000000E-02,  0.25000000E-02
       32.,  0.11258330E-01, -0.35000000E-02,  0.25000000E-02
       33.,  0.11660254E-01, -0.50000000E-02,  0.50000000E-02
       34.,  0.11660254E-01, -0.50000000E-02,  0.37500000E-02
       35.,  0.11258330E-01, -0.35000000E-02,  0.50000000E-02
       36.,  0.11258330E-01, -0.35000000E-02,  0.37500000E-02
       37., -0.13660254E-01, -0.50000000E-02,  0.50000000E-02
       38., -0.86602540E-02, -0.10000000E-01,  0.50000000E-02
       39., -0.13415537E-01, -0.65450850E-02,  0.50000000E-02
       40., -0.12705339E-01, -0.79389263E-02,  0.50000000E-02
