Node Number	Normal Stress (MPa)
1	0.16455
2	0.1438
3	0.3119
4	0.43218
5	0.43625
6	9.1381e-004
7	-0.78212
8	-1.9969
9	-2.8569
10	-3.4879
11	-3.5805
12	-3.1364
13	-2.2341
14	-1.453
15	-0.664
16	-0.30546
17	-4.3751e-002
18	-0.85863
19	1.5556e-003
20	0.16637
21	0.10096
22	0.1371
23	-1.6713
24	-0.57722
25	-0.49872
26	5.4877e-002
27	0.367
28	0.4706
29	0.34415
30	0.25188
31	-0.18177
32	-0.27961
33	-0.19809
34	-0.42503
35	-0.41266
36	-0.98037
37	-1.703
38	-1.6452
39	9.3803e-002
40	0.10925
41	0.21048
42	0.21019
43	2.3759e-002
44	4.2447e-002
45	6.0556e-002
46	-5.5541e-002
47	-0.28166
48	-0.49131
49	-0.65315
50	-0.70564
51	-0.45895
52	-0.18158
53	0.35095
54	0.86817
55	1.2195
56	1.4813
57	1.4046
58	1.0449
59	0.57535
60	0.13476
61	-0.24787
62	-0.45121
63	-0.49556
64	-0.35377
65	-8.4639e-002
66	1.5257
67	-1.4391e-002
68	4.1074e-003
69	-1.451e-002
70	-0.17017
71	1.3509
72	1.0657
73	0.85929
74	0.7584
75	0.38977
76	9.9836e-002
77	0.14888
78	0.40277
79	0.94445
80	1.3118
81	2.0495
82	2.7183
83	2.9952
84	3.386
85	3.2083
86	2.5504
87	2.1594
88	2.2874
89	1.4349
90	1.4213
91	1.1242
92	0.95704
93	1.6601e-002
94	-1.2926e-002
95	2.0282e-003
96	-0.18434
97	-1.8392
98	-1.8434
99	-2.2099
100	-1.9897
101	-1.6229
102	6.46e-002
103	0.1882
104	6.7731e-002
105	0.16695
106	6.129e-002
107	0.74602
108	0.10199
109	0.4619
110	0.6969
111	0.33441
112	0.54388
113	0.73863
114	0.87129
115	-0.12367
116	25.043
117	-7.6524e-002
118	-0.19511
119	-0.41271
120	-0.72099
121	-0.83046
122	-1.1584
123	-1.4646
124	-1.3394
125	-1.0284
126	-0.42604
127	0.6125
128	2.4411
129	4.0653
130	7.0133
131	14.785
132	-1.3733e-002
133	-4.2803e-002
134	-3.6679e-002
135	1.5244e-002
136	-4.4001e-002
137	-2.1145e-002
138	8.0879e-002
139	1.6849e-002
140	7.7393e-002
141	-5.3166e-004
142	40.373
143	-5.0737e-002
144	-0.13863
145	-0.29397
146	-0.43692
147	-0.58163
148	-0.57097
149	-0.4347
150	-0.30117
151	0.32311
152	0.91266
153	1.924
154	2.8316
155	4.3129
156	6.368
157	16.401
158	22.684
159	34.782
160	30.085
161	29.616
162	30.017
163	29.606
164	27.034
165	27.309
166	25.894
167	-7.3386
168	-0.58039
169	2.7067
170	1.4378
171	0.53386
172	0.26101
173	-8.7633e-003
174	-0.10026
175	-0.21996
176	-0.26856
177	-0.3252
178	-0.26276
179	-0.2163
180	-0.14791
181	-9.9778e-002
182	-4.2211e-002
183	-1.4759e-002
184	-2.4034e-003
185	-4.3308e-002
186	-0.10962
187	-0.2029
188	-0.40362
189	0.18905
190	0.24953
191	0.15315
192	0.10796
193	5.9073e-002
194	-1.848e-002
195	-0.1068
196	-0.23049
197	-0.3806
198	-0.50736
199	-2.2822
200	-2.3269
201	-0.87024
202	-0.46247
203	-0.33086
204	-0.11473
205	-0.21241
206	-0.16382
207	-0.14783
208	-8.3211e-002
209	-0.1845
210	-0.13965
211	-0.13611
212	-7.107e-002
213	-7.2663e-002
214	-3.36e-002
215	-2.6991e-002
216	-7.8454e-003
217	-2.9063e-002
218	2.3903e-002
219	5.8198e-002
220	1.2933
221	0.10702
222	-0.87999
223	-1.8511
224	-3.7488
225	-3.6442
