Node Number	Shear Stress (Pa)
1	-7.2299e+005
2	1.0259e+006
3	3.9361e+006
4	8.8526e+006
5	7.5721e+006
6	9.1617e+006
7	1.1573e+007
8	4.1098e+006
9	3.5701e+006
10	-6.8663e+005
11	-1.1452e+006
12	-4.5442e+006
13	-2.248e+006
14	-1.3086e+006
15	7.6236e+005
16	-2621.6
17	6.8503e+005
18	1.3984e+007
19	-5.6265e+005
20	-1.5699e+005
21	1.1777e+005
22	-1.3573e+005
23	-1.8625e+007
24	7.4327e+006
25	4.4934e+006
26	-5.0977e+006
27	-1.267e+007
28	-1.9463e+007
29	-2.5019e+007
30	-2.8349e+007
31	-2.4502e+007
32	-2.8833e+007
33	-2.6138e+007
34	-2.0761e+007
35	-1.3239e+007
36	-1.5371e+007
37	-2.0475e+007
38	-1.2089e+007
39	8.3658e+005
40	-3.9229e+005
41	-6.3641e+005
42	-1.3444e+006
43	-1.092e+006
44	-6.8577e+005
45	-2.4e+006
46	-3.5469e+006
47	-7.469e+006
48	-1.109e+007
49	-1.1594e+007
50	-8.251e+006
51	-9.3308e+006
52	-5.8242e+006
53	-4.5164e+006
54	-2.2134e+006
55	3.8294e+005
56	1.3136e+006
57	1.5515e+006
58	9.5094e+005
59	75132
60	-1.2859e+006
61	-4.1438e+006
62	-4.9071e+006
63	-1.9649e+006
64	-4.0933e+006
65	-3.3363e+005
66	-2.1593e+006
67	-1.3421e+006
68	3.1126e+005
69	-1.4155e+005
70	-3.3449e+005
71	-1.3032e+007
72	1.6318e+006
73	7.3892e+006
74	1.017e+007
75	1.5508e+007
76	1.8131e+007
77	1.6107e+007
78	1.082e+007
79	8.6923e+006
80	7.4824e+006
81	2.9816e+006
82	2.148e+006
83	1.2028e+006
84	4.7512e+005
85	2.3575e+006
86	-3.1767e+005
87	4.8267e+006
88	7.565e+006
89	6.4288e+006
90	9.7995e+006
91	-3.4251e+006
92	-4.2081e+006
93	1.3694e+005
94	8.1957e+005
95	-1.163e+005
96	7.6963e+005
97	-2.6697e+006
98	-6.5662e+005
99	-2.6675e+006
100	-1.7161e+006
101	-8.1124e+005
102	-9.0008e+005
103	1.1036e+005
104	-2.0956e+005
105	-1.2847e+005
106	-58291
107	2.7224e+006
108	2.0204e+006
109	2.3364e+006
110	2.7947e+006
111	1.2162e+006
112	2.745e+006
113	3.4693e+006
114	3.272e+006
115	-2.5967e+006
116	2.451e+006
117	-8.1071e+005
118	1.1689e+005
119	9.3798e+005
120	1.4689e+006
121	2.164e+006
122	2.9325e+006
123	3.2009e+006
124	3.8923e+006
125	4.6168e+006
126	4.9574e+006
127	5.1657e+006
128	5.3458e+006
129	4.8906e+006
130	4.4182e+006
131	3.4552e+006
132	2.3885e+006
133	74712
134	-1.3873e+005
135	48715
136	-1.9368e+005
137	13932
138	83204
139	-1.0018e+005
140	-1.273e+005
141	-6.1038e+005
142	-4.7174e+005
143	-5.773e+005
144	-1.9889e+006
145	-3.1594e+006
146	-3.4348e+006
147	-3.8284e+006
148	-3.8547e+006
149	-3.7151e+006
150	-3.8492e+006
151	-3.4956e+006
152	-3.398e+006
153	-2.7762e+006
154	-2.6297e+006
155	-2.1793e+006
156	-1.5224e+006
157	-1.3452e+006
158	1.0921e+006
159	5.7871e+005
160	5.5923e+005
161	3.5e+005
162	3.1902e+005
163	1.2825e+005
164	62230
165	-66447
166	-99452
167	2.8885e+006
168	-5.6811e+005
169	2.4348e+006
170	2.3644e+006
171	2.7408e+006
172	2.985e+006
173	3.3626e+006
174	4.0281e+006
175	4.2763e+006
176	4.4439e+006
177	4.3128e+006
178	4.0401e+006
179	3.6171e+006
180	2.9189e+006
181	2.2734e+006
182	1.4924e+006
183	8.2414e+005
184	1.7093e+005
185	-3.6659e+005
186	-7.5082e+005
187	-8.0356e+005
188	-8.1591e+005
189	9.0488e+005
190	1.6889e+006
191	1.5089e+006
192	1.6429e+006
193	1.6603e+006
194	1.6253e+006
195	1.2841e+006
196	7.2565e+005
197	4.1616e+005
198	-3.9193e+005
199	-4.6174e+006
200	-3.1634e+006
201	-2.0818e+006
202	-1.3027e+006
203	-1.0283e+006
204	-4.0352e+005
205	4.0019e+005
206	5.4939e+005
207	7.2438e+005
208	8.4978e+005
209	7.214e+005
210	5.5328e+005
211	2.6179e+005
212	-3731.9
213	-3.7389e+005
214	-4.9595e+005
215	-5.6495e+005
216	-5.3842e+005
217	-5.2732e+005
218	-1.1071e+005
219	4.7372e+005
220	1.2296e+005
221	90337
222	1.0893e+005
223	1.8548e+005
224	1.0237e+005
225	2.4321e+005
226	-1.0246e+005
227	-3.4155e+005
228	-1.0418e+005
229	-9.0574e+005
230	-4.5077e+005
231	1.1454e+005
232	3.9177e+005
233	1.0667e+006
234	1.3066e+006
235	2.042e+006
236	2.3969e+006
237	2.8161e+006
238	3.2398e+006
239	3.9655e+006
240	4.3857e+006
241	5.2776e+006
242	5.7418e+006
243	6.1283e+006
244	6.4862e+006
245	6.7455e+006
246	6.9716e+006
247	7.0869e+006
248	7.0493e+006
249	6.7215e+006
250	6.5268e+006
251	6.0886e+006
252	5.5386e+006
253	4.9322e+006
254	4.339e+006
255	3.6885e+006
256	3.0742e+006
257	2.4731e+006
258	1.9441e+006
259	1.2953e+006
260	8.0122e+005
261	3.2492e+005
262	-1.5462e+005
263	-6.1652e+005
264	2.1939e+006
265	1.4683e+006
266	1.3875e+006
267	1.583e+006
268	1.5811e+006
269	1.6251e+006
270	1.415e+006
271	9.5322e+005
272	5.1979e+005
273	1.4352e+005
274	1.8772e+006
275	2.6702e+006
276	2.7525e+006
277	3.1844e+006
278	2.9463e+006
279	3.0795e+006
280	2.6695e+006
281	2.451e+006
282	1.9616e+006
283	1.5138e+006
284	9.9219e+005
285	5.2469e+005
286	68356
287	-3.5579e+005
288	-7.3986e+005
289	-9.6592e+005
290	-1.1465e+006
291	-1.2159e+006
292	-1.1046e+006
293	-1.0115e+006
294	-7.0874e+005
295	-3.4544e+005
296	86858
297	5.4568e+005
298	1.1001e+006
299	1.6305e+006
300	2.1018e+006
301	2.4753e+006
302	2.9009e+006
303	3.2982e+006
304	3.2859e+006
305	3.5045e+006
306	3.2598e+006
307	2.8735e+006
308	1.8613e+006
309	-1.0966e+006
310	-1.5087e+006
311	-1.8642e+006
312	-2.1213e+006
313	-2.2332e+006
314	-2.2006e+006
315	-1.9676e+006
316	-1.5734e+006
317	-1.0763e+006
318	-4.6023e+005
319	1.3851e+005
320	7.58e+005
321	1.3487e+006
322	1.8413e+006
323	2.2104e+006
324	2.4521e+006
325	2.3924e+006
326	2.3582e+006
327	2.0029e+006
328	2.1368e+006
329	-2.751e+006
330	-2.116e+005
331	2.2892e+005
332	3.657e+005
333	6.5109e+005
334	6.8038e+005
335	6.1551e+005
336	5.0796e+005
337	6.2004e+005
338	34538
339	1.6069e+006
340	1.2146e+006
341	5.5134e+005
342	1.9513e+005
343	-14115
344	-2.8296e+005
345	-3.1248e+005
346	-3.3087e+005
347	-1.7616e+005
348	56708
349	3.4259e+005
350	7.1487e+005
351	9.392e+005
352	1.0681e+006
353	1.1663e+006
354	9.052e+005
355	9.5841e+005
356	2.7085e+005
357	-6.5368e+005
358	-1.6122e+006
359	9.9509e+006
360	1.5865e+006
361	1.1713e+006
362	2.3233e+006
363	2.7969e+006
364	3.6138e+006
365	3.9739e+006
366	5.1972e+006
367	6.1153e+006
368	7.6912e+006
369	9.3773e+006
370	1.2006e+007
371	1.2989e+007
372	1.5089e+007
373	1.6656e+007
374	1.8694e+007
375	2.0622e+007
376	2.2608e+007
377	2.3799e+007
378	2.4855e+007
379	2.562e+007
380	2.6e+007
381	2.624e+007
382	2.6048e+007
383	2.5652e+007
384	2.4643e+007
385	2.3919e+007
386	2.2359e+007
387	2.1475e+007
388	1.9966e+007
389	1.8137e+007
390	1.6915e+007
391	1.4841e+007
392	1.3609e+007
393	1.1754e+007
394	-1.18e+007
395	-1.0363e+007
396	-8.927e+006
397	-6.962e+006
398	-5.2054e+006
399	-3.2377e+006
400	-1.2162e+006
401	1.392e+006
402	4.3324e+006
403	7.7186e+006
404	-3.434e+006
405	-4.34e+006
406	-5.37e+006
407	-7.0862e+006
408	-8.5513e+006
409	-1.0082e+007
410	-1.1862e+007
411	-1.3437e+007
412	-1.5752e+007
413	-1.7708e+007
414	-2.0321e+007
415	-2.2866e+007
416	-2.5352e+007
417	-2.7989e+007
418	-3.0417e+007
419	-3.306e+007
420	-3.5451e+007
421	-3.7688e+007
422	-3.921e+007
423	-4.0313e+007
424	-4.1562e+007
425	-4.1745e+007
426	-4.2499e+007
427	-4.1769e+007
428	-4.1641e+007
429	-3.9963e+007
430	-3.9355e+007
431	-3.6972e+007
432	-3.5422e+007
433	-3.2007e+007
434	-2.9522e+007
435	-2.6023e+007
436	-2.1749e+007
437	-1.6384e+007
438	-8.2479e+006
439	-5.7725e+006
440	-3.4105e+006
441	-1.7786e+006
442	-1.7879e+006
443	8.507e+006
444	6.8039e+006
445	5.0853e+006
446	3.3975e+006
447	2.5242e+006
448	-1.2951e+006
449	-1.4336e+006
450	-1.5049e+006
451	-1.5414e+006
452	-1.409e+006
453	-7.431e+005
454	-1.0142e+006
455	-5.2335e+005
456	-1.812e+005
457	2.7426e+005
458	7.6238e+005
459	1.325e+006
460	1.3533e+006
461	1.7971e+006
462	2.1373e+006
463	3.2817e+006
464	3.3618e+006
465	3.633e+006
466	4.6914e+006
467	4.8769e+006
468	4.4845e+006
469	5.4935e+006
470	3.8497e+006
471	4.4959e+006
472	3.5719e+006
473	4.0684e+006
474	3.1104e+006
475	4.2703e+006
476	3.6919e+006
477	3.4306e+006
478	3.469e+006
479	3.4764e+006
480	2.5911e+006
481	2.9473e+006
482	2.6034e+006
483	2.2177e+006
484	2.508e+006
485	2.1624e+006
486	1.4927e+006
487	1.1288e+006
488	8.5314e+005
489	3.9937e+005
490	41101
491	-4.0187e+005
492	-8.2352e+005
493	-1.184e+006
494	-1.5959e+006
495	-2.0591e+006
496	-2.0568e+006
497	-3.3523e+006
498	-3.2891e+006
499	-3.8941e+006
500	-4.0457e+006
501	-4.3465e+006
502	-4.0687e+006
503	-3.9254e+006
504	-4.5138e+006
505	-5.5422e+006
506	-4.8293e+006
507	-5.4475e+006
508	-4.0883e+006
509	-4.4367e+006
510	-3.9398e+006
511	-5.4214e+006
512	-4.5154e+006
513	-4.3277e+006
514	-4.8504e+006
515	-4.8934e+006
516	4.0657e+006
517	1.7987e+006
518	1.1648e+006
519	2.2292e+005
520	72848
521	-4.8145e+005
522	-1.2229e+006
523	-1.5491e+006
524	-1.9874e+006
525	-2.3524e+006
526	-2.7818e+006
527	-3.1521e+006
528	-3.5372e+006
529	-3.8145e+006
530	-4.0973e+006
531	-4.3437e+006
532	-4.4646e+006
533	-4.5493e+006
534	-4.5934e+006
535	-4.5291e+006
536	-4.4149e+006
537	-4.2056e+006
538	-3.9973e+006
539	-3.6224e+006
540	-3.265e+006
541	-2.9653e+006
542	-2.4268e+006
543	-1.9554e+006
544	-1.357e+006
545	-9.799e+005
546	-1.8106e+005
547	5.4764e+005
548	7.3188e+005
549	1.8192e+006
550	2.6e+006
551	-7.4981e+006
552	-9.393e+006
553	-1.1952e+007
554	-1.517e+007
555	-1.6901e+007
556	-1.7507e+007
557	-1.5115e+007
558	-1.2846e+007
559	-8.9667e+006
560	-5.2247e+006
561	6.7252e+006
562	3.9609e+006
563	3.2393e+006
564	2.6078e+006
565	2.2015e+006
566	1.4251e+006
567	1.5586e+006
568	9.6155e+005
569	6.5438e+005
570	2.162e+005
571	-4.616e+005
572	-6.7773e+005
573	-1.1421e+006
574	-2.1378e+006
575	-2.1089e+006
576	-2.9526e+006
577	-3.2653e+006
578	-2.7978e+006
579	-3.9665e+006
580	-4.3018e+006
581	-4.0971e+006
582	-4.3727e+006
583	-3.6643e+006
584	-4.8948e+006
585	-5.0678e+006
586	-4.0406e+006
587	-5.4084e+006
588	-4.8971e+006
589	-4.6044e+006
590	-4.4164e+006
591	-5.4333e+006
592	-5.0891e+006
593	-3.9173e+006
594	-5.1987e+006
595	-5.6402e+006
596	-2.4705e+007
597	-2.4291e+007
598	-1.2438e+007
599	-3.5826e+006
600	6.0057e+006
601	1.1863e+007
602	1.5331e+007
603	1.8464e+007
604	1.7953e+007
605	1.7276e+007
606	1.6625e+007
607	1.4815e+007
608	1.0723e+007
609	-1.1833e+007
610	-1.004e+007
611	-9.0761e+006
