Node Number	Shear Stress (MPa)
1	-4.1176e-002
2	3.8817e-002
3	-4.2708e-002
4	-9.2118e-003
5	7.2339e-002
6	0.20581
7	0.31834
8	0.27317
9	0.26172
10	0.19678
11	6.7194e-002
12	-1.6725e-002
13	-0.10934
14	-0.1577
15	-0.15613
16	-6.1376e-002
17	-1.1753e-002
18	-0.77881
19	2.1346e-002
20	-5.2604e-002
21	-0.10581
22	-0.11969
23	1.2197
24	-0.63693
25	-0.81612
26	-0.59479
27	-0.50826
28	-0.26791
29	-0.25616
30	1.095e-003
31	0.20499
32	0.50209
33	0.67948
34	0.77951
35	0.8878
36	1.2321
37	1.4483
38	1.3716
39	-6.2505e-002
40	-4.5681e-003
41	8.2133e-002
42	0.16589
43	2.8599e-002
44	2.453e-002
45	-1.9828e-002
46	-2.6628e-003
47	6.8092e-002
48	0.10119
49	0.13317
50	0.19015
51	0.20715
52	0.2129
53	0.19187
54	0.1775
55	0.11289
56	3.2215e-002
57	-3.3905e-002
58	-0.13418
59	-0.14712
60	-0.18135
61	-0.16518
62	-0.13408
63	-0.16798
64	-7.6263e-002
65	-2.1638e-002
66	-0.62356
67	5.9731e-003
68	-1.3359e-002
69	-5.495e-002
70	1.3023e-002
71	0.61224
72	-0.39849
73	-0.20446
74	-0.17165
75	0.20685
76	0.44133
77	0.78763
78	1.3137
79	1.4083
80	1.0885
81	1.2627
82	0.8883
83	0.54189
84	0.24767
85	-0.13589
86	-0.60526
87	-0.59589
88	-0.43032
89	-0.23825
90	7.1952e-002
91	5.1827e-002
92	0.25288
93	-4.2169e-002
94	-1.8196e-002
95	3.4133e-002
96	8.6655e-002
97	-0.86698
98	-1.1282
99	-0.95324
100	-1.0439
101	-1.0543
102	4.3336e-002
103	-2.5735e-002
104	2.6362e-002
105	-2.7857e-002
106	-1.6534e-002
107	-7.7568e-002
108	2.0975e-002
109	2.743e-002
110	-4.2389e-002
111	-0.67363
112	-0.58061
113	-0.51188
114	-0.39877
115	-7.0263e-002
116	3.784
117	-0.13476
118	-7.2766e-002
119	-0.12241
120	-0.19897
121	-0.22672
122	-0.21692
123	-0.28526
124	-0.3425
125	-0.40798
126	-0.55061
127	-0.61494
128	-0.59805
129	-0.69258
130	-0.44284
131	-1.4815
132	2.9244e-004
133	-4.1367e-002
134	4.4317e-002
135	7.7832e-002
136	0.10266
137	7.6034e-002
138	-4.846e-002
139	-2.6405e-002
140	-0.10919
141	-3.5193e-002
142	-7.594
143	2.1705e-002
144	2.3305e-002
145	-3.9149e-002
146	-1.5873e-003
147	-7.4894e-002
148	-0.16032
149	-0.18854
150	-0.22903
151	-0.38517
152	-0.43143
153	-0.34543
154	-0.2472
155	-0.29608
156	-0.24209
157	-0.96908
158	1.3435
159	-0.56926
160	-1.8061
161	-2.521
162	-2.7667
163	-4.9536
164	-4.8689
165	-4.1155
166	-5.5157
167	0.6929
168	2.9654e-002
169	1.1881
170	0.39837
171	0.25957
172	0.21412
173	0.12394
174	0.15393
175	0.12717
176	8.6664e-002
177	4.9249e-002
178	5.6523e-002
179	2.9982e-002
180	2.6772e-002
181	2.7585e-003
182	-4.9668e-003
183	-8.1392e-003
184	-1.9241e-002
185	-1.3164e-002
186	-1.2604e-002
187	-7.6379e-004
188	3.8502e-003
189	6.6676e-002
190	0.13348
191	0.16307
192	0.1389
193	0.13647
194	0.19386
195	0.1972
196	0.22643
197	0.24618
198	0.18995
199	1.6805
200	0.8628
201	0.30105
202	0.28129
203	0.2852
204	0.2167
205	0.20944
206	0.21841
207	0.21051
208	0.12365
209	0.10531
210	0.11755
211	9.0289e-002
212	8.291e-002
213	7.8928e-002
214	4.8615e-002
215	4.484e-002
216	2.2386e-002
217	4.2211e-002
218	4.3875e-002
219	7.5308e-002
220	2.1934
221	2.5007
222	2.4165
223	2.6652
224	3.457
225	2.5627
226	3.6623
227	2.6576
228	1.6103
229	-1.5538e-002
230	6.3764e-002
231	6.6161e-002
232	7.5215e-002
233	4.2283e-002
234	5.1573e-002
235	3.956e-002
236	3.4566e-002
237	4.605e-002
238	5.5197e-002
239	2.5724e-002
240	4.7082e-002
241	3.7286e-002
242	3.4312e-002
243	4.0278e-002
244	3.5828e-002
245	2.7952e-002
246	3.1688e-002
247	2.4816e-002
248	2.099e-002
249	2.9569e-002
250	2.1654e-002
251	1.27e-002
252	1.1723e-002
253	1.3364e-002
254	7.099e-003
255	4.3412e-003
256	-2.9874e-003
257	-4.6066e-003
258	-1.4589e-002
259	-8.868e-003
260	-2.1093e-002
261	-2.3346e-002
262	-2.4151e-002
263	-2.9731e-002
264	4.8936e-003
265	4.2326e-002
266	0.10273
267	0.15281
268	0.17148
269	0.18717
270	0.16655
271	0.13465
272	8.3296e-002
273	2.9009e-002
274	0.1631
275	0.16518
276	0.11099
277	0.11482
278	7.8396e-002
279	8.3656e-002
280	6.5951e-002
281	6.7285e-002
282	5.6131e-002
283	4.6831e-002
284	4.8384e-002
285	5.2246e-002
286	4.6475e-002
287	3.3444e-002
288	3.4252e-002
289	2.7464e-002
290	2.7097e-002
291	2.9627e-002
292	3.3266e-002
293	1.7956e-002
294	1.9366e-002
295	1.4332e-002
296	1.672e-002
297	1.022e-002
298	1.1229e-002
299	2.7695e-003
300	5.7595e-003
301	4.2397e-005
302	-1.2773e-003
303	-9.3405e-003
304	-6.9596e-003
305	-9.6451e-003
306	-7.3435e-003
307	-8.9294e-003
308	-7.7129e-002
309	-1.0025e-002
310	-4.5459e-003
311	9.7599e-003
312	1.0939e-002
313	2.636e-002
314	4.9321e-002
315	5.3252e-002
316	5.0646e-002
317	7.249e-002
318	7.6595e-002
319	5.9029e-002
320	5.7732e-002
321	5.1217e-002
322	5.0188e-002
323	6.5673e-002
324	4.2952e-002
325	3.7505e-002
326	4.2159e-002
327	2.0049e-002
328	5.0019e-002
329	0.11758
330	0.5181
331	0.75008
332	0.82168
333	0.80407
334	0.76212
335	0.66193
336	0.52445
337	0.35522
338	0.17267
339	8.6566e-003
340	1.3172e-002
341	2.5873e-002
342	5.128e-002
343	8.1684e-002
344	7.1263e-002
345	8.3646e-002
346	9.4117e-002
347	0.12095
348	0.1253
349	0.14749
350	0.14776
351	0.12965
352	0.14009
353	0.12352
354	0.11316
355	0.10192
356	5.826e-002
357	0.11622
358	7.4795e-002
359	-0.1583
360	-0.10921
361	-5.2392e-002
362	-6.1687e-002
363	-4.3012e-002
364	-6.1804e-002
365	-3.7775e-002
366	-6.4163e-002
367	-0.10648
368	-0.11819
369	-7.4157e-002
370	-0.19494
371	-0.10828
372	-0.15414
373	-0.21501
374	-0.19954
375	-0.1462
376	-0.28119
377	-0.19125
378	-0.34676
379	-0.38786
380	-0.29454
381	-0.19538
382	-0.36531
383	-0.30944
384	-0.39292
385	-0.34507
386	-0.34614
387	-0.21914
388	-0.25512
389	-0.35079
390	-0.52331
391	-0.33429
392	-0.41109
393	-0.31807
394	-0.51267
395	-1.5207
396	-1.9194
397	-1.8302
398	-1.8287
399	-1.7526
400	-1.7211
401	-1.649
402	-1.3702
403	-1.0628
404	0.2589
405	0.25321
406	0.17841
407	0.13692
408	8.8121e-002
409	0.10488
410	7.452e-002
411	7.8578e-002
412	5.9396e-002
413	1.8803e-002
414	3.0055e-002
415	-4.9283e-003
416	9.093e-003
417	-2.9095e-002
418	-5.177e-002
419	-5.7785e-002
420	-8.5208e-002
421	-6.1488e-002
422	-9.2582e-002
423	-7.0928e-002
424	-0.11961
425	-0.11115
426	-0.18268
427	-0.14225
428	-0.24685
429	-0.19337
430	-0.34746
431	-0.30497
432	-0.24443
433	-0.24459
434	-0.49005
435	-0.47558
436	-0.69089
437	-0.66769
438	-0.45291
439	-0.1807
440	-0.19238
441	-0.17514
442	-9.5938e-002
443	-0.10843
444	-0.11445
445	-4.4883e-002
446	-2.3753e-002
447	8.5497e-004
448	-0.24929
449	-1.5901e-003
450	-2.0397e-002
451	0.1463
452	9.5395e-003
453	8.8084e-011
454	-3.4802e-003
455	2.0794e-002
456	1.5905e-003
457	2.0887e-002
458	-7.7557e-012
459	-1.2599e-002
460	7.3232e-011
461	-7.4521e-003
462	8.8255e-003
463	8.1564e-003
464	4.5447e-003
465	7.5057e-003
466	1.2143e-002
467	-3.2813e-002
468	7.1695e-012
469	-2.48e-002
470	-7.44e-012
471	-1.8222e-002
472	-1.5235e-011
473	-2.3997e-002
474	-4.0152e-011
475	-2.1927e-003
476	4.5376e-002
477	3.1815e-002
478	-3.3244e-002
479	3.8054e-002
480	-9.9909e-003
481	-0.38003
482	0.41699
483	-4.9216e-002
484	-4.9527e-002
485	4.181e-002
486	3.7077e-003
487	-3.0054e-002
488	-3.5753e-011
489	1.7012e-002
490	-1.5585e-003
491	3.8117e-003
492	9.6301e-004
493	-1.3128e-004
494	2.2766e-003
495	2.5264e-003
496	3.2371e-003
497	-5.1315e-003
498	2.3052e-014
499	1.3673e-002
500	2.6716e-004
501	3.5028e-012
502	1.0397e-002
503	4.4235e-003
504	-3.7564e-003
505	3.0932e-003
506	-1.1301e-011
507	-8.4105e-004
508	1.8078e-002
509	1.1259e-002
510	-9.8478e-004
511	-1.6043e-003
512	1.9159e-002
513	-1.7717e-002
514	-6.3301e-003
515	-7.2251e-002
516	4.0901e-002
517	-0.10508
518	-0.10608
519	-7.6534e-002
520	-7.5242e-002
521	-9.6231e-002
522	-6.485e-002
523	-6.8773e-002
524	-8.979e-002
525	-7.0379e-002
526	-4.9453e-002
527	-7.6094e-002
528	-4.6538e-002
529	-3.9779e-002
530	-5.2229e-002
531	-3.0593e-002
532	-2.6979e-002
533	-3.3283e-002
534	-2.0703e-002
535	-1.4674e-002
536	-1.1226e-002
537	-1.5228e-002
538	-9.1551e-003
539	-2.4832e-003
540	7.2011e-004
541	8.2666e-003
542	1.3793e-002
543	1.0529e-002
544	1.8832e-002
545	3.5543e-002
546	2.7907e-002
547	3.9532e-002
548	6.4277e-002
549	5.9316e-002
550	6.0714e-002
551	-0.27206
552	-0.39909
553	-0.60511
554	-0.45544
555	-0.36577
556	-0.31778
557	-0.17923
558	-8.1677e-002
559	-3.2509e-002
560	3.4141e-002
561	0.28945
562	-0.19947
563	-0.33182
564	-0.3511
565	-0.24866
566	-0.1959
567	-9.382e-002
568	-3.7926e-002
569	-4.2923e-003
570	-1.2364e-002
571	-4.9631e-003
572	-8.8298e-003
573	3.2581e-003
574	-2.1889e-002
575	-4.1815e-003
576	3.8022e-003
577	-1.3825e-002
578	-1.9754e-002
579	-8.7007e-003
580	-1.7566e-002
581	-1.192e-002
582	-2.0964e-002
583	-2.0519e-002
584	-2.4902e-002
585	-2.7076e-002
586	-2.7609e-002
587	-5.0586e-003
588	-4.2685e-002
589	-2.3393e-002
590	-5.3137e-002
591	-5.9575e-002
