Node Number	Normal Stress (Pa)
1	-6.881e+007
2	2.1817e+007
3	-7.4243e+007
4	-7.3434e+007
5	-7.6761e+007
6	-6.7545e+007
7	-5.7298e+007
8	-5.5204e+007
9	-4.2034e+007
10	-3.6137e+007
11	-3.055e+007
12	-2.145e+007
13	-1.3852e+007
14	-5.8095e+006
15	1.374e+006
16	1.0238e+007
17	1.654e+007
18	2.6288e+007
19	1.4975e+007
20	1.3752e+007
21	8.9493e+006
22	3.9374e+006
23	-8.7462e+007
24	9.7588e+006
25	1.091e+006
26	-2.1548e+007
27	-3.5349e+007
28	-4.3231e+007
29	-5.3042e+007
30	-6.4892e+007
31	-7.0926e+007
32	-8.4552e+007
33	-9.1833e+007
34	-9.8018e+007
35	-9.7974e+007
36	-1.0442e+008
37	-1.1196e+008
38	-9.2063e+007
39	-5.6221e+007
40	-6.3816e+007
41	-6.651e+007
42	-5.8398e+007
43	6.2249e+007
44	-7.884e+007
45	6.7327e+007
46	7.0956e+007
47	6.9394e+007
48	6.8642e+007
49	6.3935e+007
50	6.5048e+007
51	5.366e+007
52	5.2596e+007
53	3.9518e+007
54	3.5579e+007
55	2.4202e+007
56	2.3501e+007
57	1.1381e+007
58	3.8754e+006
59	-4.4584e+006
60	-1.4367e+007
61	-2.3866e+007
62	-3.3974e+007
63	-4.5798e+007
64	-5.7623e+007
65	-6.2075e+007
66	4.5899e+007
67	2.4095e+007
68	1.7955e+007
69	1.2559e+007
70	7.5352e+006
71	-2.555e+008
72	4.4929e+007
73	5.4862e+007
74	8.3371e+007
75	7.0945e+007
76	7.4051e+007
77	7.5754e+007
78	6.9986e+007
79	6.5948e+007
80	5.1208e+007
81	4.5288e+007
82	2.7146e+007
83	6.7928e+006
84	-1.563e+007
85	-3.9346e+007
86	-5.4893e+007
87	-7.8284e+007
88	-1.3171e+008
89	-1.4136e+008
90	-1.7388e+008
91	-1.7516e+008
92	-1.8359e+008
93	-2.8338e+007
94	-4.0841e+007
95	-5.7807e+007
96	-7.1197e+007
97	-2.8472e+006
98	-2.7833e+006
99	-1.5927e+006
100	-2.6467e+006
101	-2.8726e+006
102	-2.465e+007
103	-1.3384e+007
104	-1.7499e+007
105	-2.0943e+007
106	-2.4181e+007
107	-1.1845e+007
108	-2.2279e+007
109	-1.8618e+007
110	-1.4309e+007
111	-3.8109e+006
112	-5.5596e+006
113	-7.0135e+006
114	-7.3019e+006
115	-1.0576e+007
116	-2.1463e+006
117	-7.9233e+006
118	-7.8327e+006
119	-8.0665e+006
120	-7.9865e+006
121	-7.7171e+006
122	-8.168e+006
123	-8.301e+006
124	-8.0298e+006
125	-7.0123e+006
126	-7.031e+006
127	-5.7992e+006
128	-6.1876e+006
129	-4.1643e+006
130	-4.0048e+006
131	-2.6559e+006
132	1.8755e+007
133	-4.7495e+006
134	-3.2049e+006
135	-3.2686e+006
136	-4.6711e+006
137	-4.82e+006
138	-3.2537e+006
139	-98827
140	4.67e+006
141	9.9119e+006
142	2.422e+006
143	1.5873e+007
144	1.4964e+007
145	1.3071e+007
146	1.2164e+007
147	1.0096e+007
148	9.3241e+006
149	8.1887e+006
150	6.7372e+006
151	5.9446e+006
152	4.725e+006
153	4.6092e+006
154	4.0488e+006
155	3.8531e+006
156	2.3882e+006
157	3.0219e+006
158	7.3664e+005
159	56677
160	1.8715e+005
161	80384
162	-1.1633e+005
163	16959
164	-2.014e+005
165	10205
166	-1.5643e+006
167	3.2718e+005
168	2.8086e+006
169	80800
170	5.4787e+005
171	1.1879e+006
172	1.5937e+006
173	2.1402e+006
174	3.1678e+006
175	4.1699e+006
176	5.0524e+006
177	5.8401e+006
178	6.5861e+006
179	7.372e+006
180	7.6963e+006
181	7.9982e+006
182	7.8223e+006
183	7.4476e+006
184	7.0008e+006
185	6.0877e+006
186	5.2194e+006
187	4.4514e+006
188	3.3017e+006
189	-5.1739e+006
190	-3.1033e+006
191	-2.9605e+006
192	-3.1551e+006
193	-3.0717e+006
194	-2.9846e+006
195	-2.4877e+006
196	-1.5947e+006
197	-6.2255e+005
198	7.273e+005
199	-6.0787e+005
200	-5.9792e+005
201	-8.4761e+005
202	-1.0154e+006
203	-7.9392e+005
204	-8.0431e+005
205	-3.1797e+005
206	-4.0057e+005
207	2.0894e+005
208	6.0159e+005
209	8.6804e+005
210	9.0042e+005
211	1.0179e+006
212	9.0849e+005
213	5.3339e+005
214	2.5755e+005
215	-3.1132e+005
216	-1.18e+006
217	-1.992e+006
218	-2.6693e+006
219	-3.9578e+006
220	1.5225e+005
221	2.0009e+005
222	54420
223	70718
224	25829
225	3.2522e+005
226	-2.7611e+005
227	-2.8665e+005
228	-5356.
229	3.0394e+005
230	1.9439e+006
231	1.6242e+006
232	8.753e+005
233	2.8476e+005
234	-6.4024e+005
235	-1.4482e+006
236	-2.5909e+006
237	-3.5666e+006
238	-4.9462e+006
239	-6.0072e+006
240	-7.2296e+006
241	-8.0885e+006
242	-9.282e+006
243	-1.0085e+007
244	-1.095e+007
245	-1.1651e+007
246	-1.1661e+007
247	-1.1877e+007
248	-1.1651e+007
249	-1.1432e+007
250	-1.0934e+007
251	-1.0274e+007
252	-9.4319e+006
253	-8.6729e+006
254	-7.6727e+006
255	-6.8955e+006
256	-5.8561e+006
257	-5.0543e+006
258	-4.2056e+006
259	-3.4276e+006
260	-2.5578e+006
261	-1.8833e+006
262	-1.2348e+006
263	-5.1982e+005
264	-1.4197e+006
265	-2.2285e+006
266	-2.3799e+006
267	-2.3889e+006
268	-2.623e+006
269	-2.5991e+006
270	-2.3338e+006
271	-1.7021e+006
272	-7.5879e+005
273	1.2533e+005
274	-6.515e+006
275	-7.3922e+006
276	-8.1819e+006
277	-8.1312e+006
278	-7.9868e+006
279	-7.3769e+006
280	-6.7076e+006
281	-5.6773e+006
282	-4.8156e+006
283	-3.8172e+006
284	-2.734e+006
285	-1.7933e+006
286	-7.8833e+005
287	92602
288	8.4004e+005
289	1.4134e+006
290	1.831e+006
291	2.01e+006
292	1.9779e+006
293	1.8937e+006
294	1.4648e+006
295	9.6434e+005
296	3.3751e+005
297	-3.0619e+005
298	-1.0901e+006
299	-1.5772e+006
300	-2.5207e+006
301	-2.8348e+006
302	-3.5277e+006
303	-3.6092e+006
304	-4.0536e+006
305	-3.4252e+006
306	-3.1765e+006
307	-2.6484e+006
308	-1.0258e+006
309	7.8813e+005
310	1.2991e+006
311	1.4948e+006
312	1.4544e+006
313	1.3095e+006
314	9.5034e+005
315	7.7047e+005
316	4.6653e+005
317	2.3995e+005
318	76003
319	87647
320	61598
321	2.6812e+005
322	4.9964e+005
323	6.3285e+005
324	1.0719e+006
325	1.2529e+006
326	1.1605e+006
327	1.225e+006
328	7.1724e+005
329	2.8273e+006
330	-1.1486e+005
331	2.8705e+005
332	5.9025e+005
333	7.5594e+005
334	1.0943e+006
335	1.031e+006
336	7.1605e+005
337	2.8068e+005
338	3.5437e+005
339	-5.2828e+005
340	-2.0212e+005
341	2.027e+005
342	4.9184e+005
343	3.2602e+005
344	3.9546e+005
345	4.0319e+005
346	2.5912e+005
347	2.0731e+005
348	1.0419e+005
349	1.6542e+005
350	3.4586e+005
351	5.4646e+005
352	8.7766e+005
353	1.0056e+006
354	1.3543e+006
355	2.1486e+006
356	2.5807e+006
357	1.8842e+006
358	1.787e+006
359	2.42e+007
360	-1.5724e+006
361	-6.1247e+005
362	-9.1538e+005
363	-1.9299e+005
364	1.2824e+006
365	3.3086e+006
366	4.6144e+006
367	6.8573e+006
368	9.3206e+006
369	1.1662e+007
370	1.3396e+007
371	1.7581e+007
372	2.0493e+007
373	2.4309e+007
374	2.7669e+007
375	3.0704e+007
376	3.365e+007
377	3.6867e+007
378	3.9352e+007
379	4.1717e+007
380	4.3598e+007
381	4.4114e+007
382	4.4982e+007
383	4.5359e+007
384	4.4887e+007
385	4.3509e+007
386	4.2499e+007
387	4.0691e+007
388	3.8807e+007
389	3.6773e+007
390	3.4013e+007
391	3.198e+007
392	2.9087e+007
393	2.6403e+007
394	-3.1192e+007
395	-1.9518e+007
396	-1.6031e+007
397	-1.2997e+007
398	-9.6569e+006
399	-6.54e+006
400	-2.2403e+006
401	2.5211e+006
402	7.808e+006
403	1.3101e+007
404	6.1061e+005
405	-1.9264e+006
406	-3.5754e+006
407	-5.8262e+006
408	-8.3445e+006
409	-1.1303e+007
410	-1.4421e+007
411	-1.7403e+007
412	-2.1631e+007
413	-2.5422e+007
414	-2.9899e+007
415	-3.3755e+007
416	-3.9118e+007
417	-4.3733e+007
418	-4.8434e+007
419	-5.2488e+007
420	-5.711e+007
421	-6.1574e+007
422	-6.5111e+007
423	-6.8299e+007
424	-7.0809e+007
425	-7.2671e+007
426	-7.3992e+007
427	-7.4543e+007
428	-7.4355e+007
429	-7.3749e+007
430	-7.1615e+007
431	-6.9705e+007
432	-6.6683e+007
433	-6.3988e+007
434	-5.8979e+007
435	-5.3565e+007
436	-4.7299e+007
437	-3.8279e+007
438	-2.4174e+007
439	-2.0148e+007
440	-1.7569e+007
441	-1.4362e+007
442	-1.247e+007
443	2.1192e+007
444	2.0698e+007
445	2.2518e+007
446	2.1406e+007
447	2.1261e+007
448	1.3268e+006
449	9.21e+005
450	9.9247e+005
451	9.5554e+005
452	5.206e+005
453	8.7475e+005
454	1.0902e+006
455	3.501e+005
456	7.1449e+005
457	9.9665e+005
458	6.1645e+005
459	1.1672e+006
460	4.5893e+005
461	7.7357e+005
462	4.3482e+005
463	7.8266e+005
464	7.0847e+005
465	5.8485e+005
466	2.2117e+005
467	3.999e+005
468	3.9845e+005
469	7.4453e+005
470	8.3139e+005
471	6.7967e+005
472	6.1109e+005
473	6.7477e+005
474	7.3403e+005
475	5.1363e+005
476	6.4337e+005
477	5.2943e+005
478	4.922e+005
479	1.1073e+006
480	3.6637e+005
481	7.6973e+005
482	-1.3485e+006
483	-7.4087e+005
484	-1.6917e+006
485	-1.0846e+006
486	-1.0007e+006
487	-1.6979e+006
488	-1.168e+006
489	-1.3755e+006
490	-1.3762e+006
491	-1.2276e+006
492	-1.3894e+006
493	-1.1795e+006
494	-1.091e+006
495	-1.4355e+006
496	-6.8059e+005
497	-1.6509e+006
498	-1.2241e+006
499	-1.7287e+006
500	-1.3529e+006
501	-1.4168e+006
502	-1.6753e+006
503	-1.2129e+006
504	-1.0511e+006
505	-2.2028e+006
506	-1.2851e+006
507	-1.6633e+006
508	-1.2981e+006
509	-1.6292e+006
510	-1.0945e+006
511	-1.4477e+006
512	-1.5722e+006
513	-1.0685e+006
514	-1.1043e+006
515	-1.0534e+006
516	-3.7163e+006
517	-6.9926e+006
518	-5.7361e+006
519	-4.1789e+006
520	-2.6117e+006
521	-1.3074e+006
522	-2.5157e+005
523	4.7964e+005
524	1.9621e+006
525	2.5263e+006
526	3.5548e+006
527	4.5742e+006
528	5.2905e+006
529	5.9076e+006
530	6.6156e+006
531	7.068e+006
532	7.4409e+006
533	7.6955e+006
534	7.8238e+006
535	7.8027e+006
536	7.649e+006
537	7.4303e+006
538	7.0687e+006
539	6.6146e+006
540	6.1148e+006
541	5.6103e+006
542	4.9774e+006
543	4.232e+006
544	3.5898e+006
545	2.8103e+006
546	2.0437e+006
547	1.2422e+006
548	1.3595e+005
549	-1.0291e+006
550	-2.1757e+006
551	-5.6566e+005
552	-2.473e+006
553	-4.7336e+006
554	-1.0524e+007
555	-1.4577e+007
556	-1.8414e+007
557	-2.3168e+007
558	-2.598e+007
559	-2.6765e+007
560	-2.6496e+007
561	-7.5995e+005
562	-24545
563	-1.1919e+005
564	-1.7092e+005
565	-58924
566	-96142
567	91603
568	-3.024e+005
569	-2.3363e+005
570	-1.8329e+005
571	-3.0859e+005
572	-1.5139e+005
573	-3.5057e+005
574	-2.3594e+005
575	-1.5398e+005
576	-3.3795e+005
577	651.31
578	-1.722e+005
579	-4.5594e+005
580	3.3097e+005
581	90643
582	1.3322e+005
583	-1.4016e+005
584	-2.8813e+005
585	4.3041e+005
586	-3.7754e+005
587	-27793
588	2.3214e+005
589	12323
590	1.2682e+005
591	77121
592	6.538e+005
593	-9182.2
594	-3.8524e+005
595	4.3145e+005
596	-6.3941e+007
597	-7.5569e+007
598	-7.8247e+007
599	-7.4274e+007
600	-6.3234e+007
601	-5.1715e+007
602	-3.9693e+007
603	-2.8729e+007
604	-2.2437e+007
605	-1.7142e+007
606	-1.0986e+007
607	-7.6187e+006
608	-4.8109e+006
609	-9.3531e+006
610	-8.3096e+006
611	-8.9685e+006
612	-8.7845e+006
613	-1.0242e+007
614	-1.1339e+007
615	-1.3049e+007
616	-1.5718e+007
617	-1.8832e+007
618	-2.1297e+007
619	-2.2047e+007
620	-2.5935e+007
621	-3.0242e+007
622	-3.2551e+007
623	-3.4602e+007
624	-3.9365e+007
625	-4.1214e+007
626	-4.3145e+007
627	-4.5979e+007
628	-4.754e+007
629	-4.951e+007
630	-5.0733e+007
631	-5.1786e+007
632	-5.2562e+007
633	-5.2342e+007
634	-5.2354e+007
635	-5.2465e+007
636	-5.0778e+007
637	-5.0931e+007
638	-4.9808e+007
639	-4.9697e+007
640	-4.9428e+007
641	-5.0088e+007
642	-5.2194e+007
643	-5.3479e+007
644	-4.5079e+006
645	-4.8066e+006
646	-4.8955e+006
647	-3.1739e+006
648	-1.8863e+006
649	-1.2562e+006
650	-1.2265e+006
651	-1.7145e+006
652	-3.8653e+006
653	-7.216e+006
654	-9.373e+006
655	-9.7185e+006
656	-8.0058e+006
657	-6.3271e+006
658	-4.9812e+006
659	-1.7476e+006
660	-8.0141e+005
661	-5.2268e+005
662	2.52e+005
663	-1.6821e+005
664	2.5804e+006
665	-1.4432e+006
666	1.1422e+005
667	-28392
668	1.8218e+005
669	2.0677e+005
670	4.5841e+006
671	2.9862e+006
672	2.3921e+006
673	1.4928e+006
674	1.7357e+006
675	2.2733e+006
676	2.3997e+006
677	1.3715e+006
678	4.0304e+005
679	9.4386e+005
680	6.5533e+006
681	3.0868e+006
682	3.2916e+006
683	5.0443e+005
684	5.0958e+006
685	4.3335e+006
686	-3.248e+006
687	-5.5582e+006
688	-6.1491e+006
689	-9.2168e+006
690	-1.7459e+007
691	-1.3503e+007
692	-1.464e+007
693	-1.9741e+007
694	-2.1662e+007
695	-1.9738e+007
696	-2.1316e+007
697	-2.1742e+007
698	-2.621e+007
699	-1.9468e+007
700	-2.0501e+007
701	-1.8003e+007
702	-1.6061e+007
703	-1.4379e+007
704	-9.8375e+006
705	-1.5095e+006
706	-35770
707	-3.4902e+005
708	-4.4088e+005
709	-1.9597e+007
710	-1.4257e+007
711	-1.2205e+007
712	-6.2209e+006
713	-5.642e+005
714	3.2635e+006
715	5.809e+006
716	4.5929e+006
717	8.281e+006
718	8.8528e+006
719	1.064e+007
720	7.2933e+006
721	7.0383e+006
722	-2.176e+007
723	-3.2468e+007
724	-4.3166e+007
725	-5.152e+007
726	6.8836e+006
727	7.3564e+006
728	8.4476e+006
729	6.2072e+006
730	8.2332e+006
731	6.2376e+006
732	1.1151e+007
733	9.8573e+006
734	1.5352e+007
735	1.0006e+007
736	1.3567e+007
737	1.193e+007
738	1.4187e+007
739	9.1157e+006
740	1.3878e+007
741	1.3889e+007
742	1.2391e+007
743	1.209e+007
744	1.3932e+007
745	9.6527e+006
746	9.5822e+006
747	7.6392e+006
748	-2.569e+006
749	-4.7381e+006
750	-6.2533e+006
751	-1.4897e+007
752	-1.2565e+007
753	-1.3421e+007
754	-1.8091e+007
755	-2.0259e+007
756	-1.989e+007
757	-2.6937e+007
758	-2.2883e+007
759	-2.8498e+007
760	-2.315e+007
761	-7.3994e+006
762	-1.0793e+007
763	-1.2398e+007
764	-1.3947e+007
765	9.746e+006
766	8.5722e+006
767	1.1405e+007
768	1.2931e+007
769	1.5208e+007
770	1.3952e+007
771	1.7332e+007
772	1.4017e+007
773	1.6406e+007
774	1.1959e+007
775	1.3253e+007
776	1.2581e+007
777	6.4735e+006
778	-2.9991e+006
779	-3.3578e+006
780	-4.3525e+006
781	-4.5759e+006
782	-3.5218e+006
783	-3.0427e+006
784	-2.579e+006
785	-2.3727e+006
786	-1.0405e+006
787	62954
788	4.4709e+005
789	1.6207e+006
790	1.6064e+006
791	2.3278e+006
792	2.4771e+006
793	3.0554e+006
794	3.4806e+006
795	3.1463e+006
796	3.115e+006
797	3.4634e+006
798	2.0395e+006
799	3.1792e+006
800	1.6319e+006
801	1.9666e+006
802	1.5206e+006
803	2.0895e+006
