Node Number	Shear Stress (MPa)
1	0.19131
2	-0.17863
3	7.7254e-002
4	-0.10515
5	-0.14264
6	-0.24532
7	-0.20612
8	-8.611e-002
9	-3.3133e-002
10	1.2935e-002
11	3.5807e-002
12	3.6224e-003
13	-7.5043e-002
14	-0.13811
15	-0.28042
16	-0.23395
17	-0.25267
18	-0.22108
19	-0.23498
20	-0.15308
21	-0.15367
22	-0.17434
23	0.23626
24	-0.30831
25	-0.64017
26	-0.52267
27	-0.64075
28	-0.73355
29	-0.78288
30	-0.75571
31	-0.87434
32	-0.80549
33	-0.79097
34	-0.70506
35	-0.31916
36	-0.27854
37	-0.1229
38	0.15577
39	0.27237
40	0.1702
41	8.3062e-002
42	-7.802e-002
43	0.16665
44	-0.10504
45	8.4989e-002
46	7.2741e-003
47	-7.7268e-002
48	-0.13346
49	-0.16133
50	-0.16758
51	-0.12514
52	-0.10568
53	-5.2436e-002
54	-2.5867e-002
55	5.5725e-003
56	1.2781e-002
57	-2.4995e-003
58	-6.0354e-002
59	-5.4907e-002
60	-0.15522
61	-0.1733
62	-0.19939
63	-0.27139
64	-0.25721
65	-0.18637
66	0.37925
67	0.38224
68	0.52172
69	0.57349
70	0.57755
71	-1.6139
72	-9.9484e-003
73	-0.48013
74	-1.1393
75	-1.1407
76	-1.2883
77	-1.4384
78	-1.7997
79	-1.7484
80	-1.2611
81	-1.7385
82	-1.6723
83	-1.7904
84	-2.3298
85	-2.5781
86	-2.8984
87	-2.7891
88	-4.7893
89	-4.0932
90	-4.3386
91	-3.69
92	-2.3356
93	-0.46622
94	-0.62935
95	-0.80438
96	-1.096
97	0.18684
98	0.57095
99	0.33029
100	0.43749
101	0.61523
102	-3.3461e-002
103	0.17378
104	0.10417
105	5.2633e-002
106	-5.0513e-002
107	0.23826
108	6.1449e-002
109	0.18269
110	0.27625
111	1.1089
112	1.0228
113	0.93065
114	0.749
115	-0.17189
116	-4.115
117	-5.0029e-002
118	-4.5708e-004
119	0.16524
120	0.27216
121	0.30118
122	0.29864
123	0.34888
124	0.31479
125	0.37107
126	0.34128
127	0.33204
128	0.31723
129	0.12477
130	9.4292e-002
131	-0.19756
132	-7.8582e-002
133	-0.55775
134	-0.58213
135	-0.57679
136	-0.45086
137	-0.42208
138	-0.36119
139	-0.40057
140	-0.37087
141	-0.30112
142	12.425
143	-8.473e-004
144	9.0345e-002
145	0.23488
146	0.1518
147	0.19532
148	0.20926
149	0.24488
150	0.2055
151	0.25872
152	0.188
153	0.12714
154	5.1263e-002
155	0.10852
156	-0.13837
157	-9.2212e-002
158	-1.8172
159	-4.9235e-002
160	0.68721
161	0.84679
162	1.7959
163	3.5562
164	4.4489
165	6.9772
166	7.5055
167	-0.53024
168	-9.6417e-002
169	-0.54565
170	6.9371e-003
171	-4.2981e-002
172	3.8578e-002
173	6.4283e-002
174	8.558e-002
175	7.837e-002
176	7.6078e-002
177	6.8846e-002
178	9.0008e-002
179	8.7416e-002
180	5.8235e-002
181	5.4547e-002
182	4.5537e-002
183	2.3292e-002
184	1.2049e-002
185	-6.9136e-003
186	-1.8044e-002
187	-5.4582e-002
188	-5.4121e-002
189	-8.8243e-002
190	-0.28593
191	-0.32927
192	-0.32352
193	-0.32598
194	-0.32516
195	-0.34217
196	-0.35508
197	-0.39468
198	-0.32242
199	1.492
200	-6.039e-003
201	5.2244e-002
202	0.10499
203	0.1321
204	0.14012
205	0.12891
206	0.16945
207	0.17582
208	0.15027
209	0.14396
210	0.15111
211	0.13665
212	0.11429
213	0.10637
214	6.0723e-002
215	3.9567e-002
216	-1.553e-002
217	-1.9839e-002
218	-4.0134e-002
219	-7.1869e-002
220	2.2477
221	2.2763
222	2.1616
223	2.2638
224	2.0503
225	2.3444
226	3.0185
227	1.9591
228	1.3156
229	2.4338e-002
230	-0.14756
231	-0.16355
232	-0.1523
233	-9.4201e-002
234	-0.11751
235	-0.10493
236	-9.1059e-002
237	-0.11847
238	-0.10219
239	-6.1971e-002
240	-8.2021e-002
241	-7.7443e-002
242	-7.0311e-002
243	-8.1327e-002
244	-6.4258e-002
245	-4.5509e-002
246	-6.5624e-002
247	-4.5724e-002
248	-5.1231e-002
249	-5.985e-002
250	-4.5794e-002
251	-2.7155e-002
252	-3.2575e-002
253	-2.7597e-002
254	-2.5569e-002
255	-1.5277e-002
256	-9.0911e-003
257	-1.7655e-003
258	-1.4644e-003
259	6.2027e-003
260	1.1652e-002
261	1.6072e-002
262	2.3495e-002
263	2.7955e-002
264	2.7607e-002
265	-7.726e-002
266	-0.19923
267	-0.28568
268	-0.31524
269	-0.3101
270	-0.27163
271	-0.20729
272	-0.12823
273	-2.5174e-002
274	-0.21587
275	-0.2153
276	-0.15176
277	-0.14425
278	-0.11675
279	-0.11421
280	-9.6162e-002
281	-9.7146e-002
282	-8.055e-002
283	-7.1905e-002
284	-6.5153e-002
285	-7.7299e-002
286	-6.7983e-002
287	-5.011e-002
288	-5.0742e-002
289	-4.3056e-002
290	-3.7858e-002
291	-4.9082e-002
292	-4.5173e-002
293	-2.7715e-002
294	-2.7646e-002
295	-2.0715e-002
296	-1.5295e-002
297	-1.0551e-002
298	-5.0795e-003
299	1.9803e-003
300	1.1998e-002
301	9.4339e-003
302	1.6404e-002
303	2.7281e-002
304	3.8987e-002
305	3.4599e-002
306	3.9394e-002
307	2.7709e-002
308	-9.9577e-002
309	1.1391e-002
310	-6.5071e-003
311	-1.016e-002
312	-1.7554e-002
313	-1.6344e-002
314	-2.9173e-002
315	-2.2043e-002
316	-1.3832e-002
317	-1.4231e-002
318	3.9065e-003
319	1.1396e-002
320	1.4785e-002
321	2.4397e-002
322	3.3529e-002
323	5.7287e-002
324	4.2849e-002
325	6.1018e-002
326	9.5432e-002
327	8.6141e-002
328	0.11916
329	0.18451
330	0.91371
331	1.2491
332	1.4509
333	1.4206
334	1.2735
335	1.0425
336	0.75685
337	0.5096
338	0.24437
339	1.7277e-002
340	5.1801e-003
341	-9.2296e-003
342	-1.7146e-002
343	-1.7614e-002
344	-2.4426e-002
345	-6.9763e-003
346	-1.5404e-002
347	-1.4764e-003
348	-3.7075e-003
349	2.1324e-002
350	1.7842e-002
351	4.3575e-002
352	3.9969e-002
353	6.6766e-002
354	4.9755e-002
355	7.1135e-002
356	5.2249e-002
357	5.9706e-002
358	7.9118e-002
359	-0.23
360	-2.4025e-002
361	4.9183e-002
362	8.0957e-002
363	5.2355e-002
364	5.5606e-002
365	3.5446e-002
366	1.0967e-003
367	-1.0662e-002
368	-2.8933e-002
369	-4.5364e-002
370	-1.6476e-002
371	-6.7526e-002
372	-9.0333e-002
373	-0.15215
374	-0.17692
375	-0.12327
376	-0.14594
377	-0.1919
378	-0.28179
379	-0.3823
380	-0.33367
381	-0.21795
382	-0.36689
383	-0.37469
384	-0.45247
385	-0.49394
386	-0.46038
387	-0.32084
388	-0.42391
389	-0.52887
390	-0.72421
391	-0.59574
392	-0.68587
393	-0.53456
394	-0.81707
395	-2.828
396	-3.424
397	-3.4333
398	-3.4241
399	-3.2804
400	-3.146
401	-2.8967
402	-2.4977
403	-1.8448
404	0.35425
405	0.28552
406	0.18571
407	0.16134
408	0.10465
409	7.5518e-002
410	2.3547e-002
411	-2.5969e-002
412	-4.9069e-002
