Node Number	Normal Stress (Pa)
1	-1.6926e+008
2	5.1683e+007
3	-1.8636e+008
4	-1.9769e+008
5	-1.9935e+008
6	-1.9509e+008
7	-1.8583e+008
8	-1.7502e+008
9	-1.5275e+008
10	-1.2746e+008
11	-1.017e+008
12	-7.2881e+007
13	-4.4501e+007
14	-1.9129e+007
15	3.4199e+006
16	2.403e+007
17	3.9074e+007
18	8.8447e+007
19	5.8561e+007
20	8.3287e+007
21	8.5889e+007
22	7.9974e+007
23	-3.1744e+007
24	7.3002e+007
25	8.2374e+007
26	5.4887e+007
27	4.4439e+007
28	3.2054e+007
29	1.5549e+007
30	5.7788e+005
31	-8.0522e+006
32	-2.8776e+007
33	-2.9885e+007
34	-3.3922e+007
35	-3.3679e+007
36	-4.2814e+007
37	-4.6122e+007
38	-3.9008e+007
39	-1.6495e+008
40	-1.7164e+008
41	-1.2983e+008
42	-4.651e+007
43	1.6843e+008
44	-2.0223e+008
45	1.8312e+008
46	1.8875e+008
47	1.9627e+008
48	2.0749e+008
49	2.0366e+008
50	1.944e+008
51	1.89e+008
52	1.6983e+008
53	1.5257e+008
54	1.2762e+008
55	1.0183e+008
56	7.5016e+007
57	4.5637e+007
58	1.566e+007
59	-1.5392e+007
60	-4.2999e+007
61	-7.5222e+007
62	-1.0457e+008
63	-1.2438e+008
64	-1.4897e+008
65	-1.7019e+008
66	1.1323e+008
67	1.3605e+008
68	1.3102e+008
69	1.2407e+008
70	1.1548e+008
71	-3.901e+008
72	1.0809e+008
73	1.2105e+008
74	1.8453e+008
75	1.3007e+008
76	1.205e+008
77	1.224e+008
78	1.325e+008
79	1.1445e+008
80	8.3433e+007
81	7.8167e+007
82	4.9737e+007
83	2.1822e+007
84	-4.8743e+006
85	-3.7909e+007
86	-7.153e+007
87	-9.1027e+007
88	-1.9292e+008
89	-1.885e+008
90	-2.4516e+008
91	-2.7132e+008
92	-2.6095e+008
93	-1.5894e+008
94	-1.804e+008
95	-2.0055e+008
96	-2.3846e+008
97	1.0723e+007
98	8.2131e+006
99	1.1881e+007
100	9.9197e+006
101	8.8652e+006
102	-2.0491e+005
103	3.9353e+006
104	5.723e+005
105	-5.8821e+005
106	-8.1405e+005
107	3.1667e+005
108	-5.7202e+005
109	-2.0634e+005
110	-2.7106e+005
111	5.2394e+006
112	2.5741e+006
113	1.0396e+006
114	79332
115	5.7536e+005
116	1.406e+006
117	1.965e+006
118	2.5047e+006
119	2.4395e+006
120	1.6274e+006
121	2.1864e+006
122	2.1407e+006
123	1.3135e+006
124	1.6101e+006
125	1.8784e+006
126	1.1896e+006
127	1.9377e+006
128	1.5756e+006
129	2.6769e+006
130	2.041e+006
131	2.297e+006
132	-1.0508e+006
133	4.8342e+006
134	2.6875e+006
135	-9.4528e+005
136	-7.2638e+006
137	-1.239e+007
138	-1.3848e+007
139	-1.2415e+007
140	-8.9396e+006
141	-4.932e+006
142	-1.102e+006
143	-2.7503e+006
144	-1.5805e+006
145	-2.1837e+006
146	-1.3502e+006
147	-2.1979e+006
148	-2.4339e+006
149	-1.3887e+006
150	-1.6687e+006
151	-1.7684e+006
152	-1.8935e+006
153	-1.5036e+006
154	-1.5313e+006
155	-1.8324e+006
156	-3.1671e+006
157	-2.2316e+006
158	4.5928e+006
159	4.6796e+006
160	2.6106e+006
161	-2.5353e+005
162	-2.6371e+006
163	-4.2568e+006
164	-5.3388e+006
165	-6.115e+006
166	-5.329e+006
167	-95124
168	1.0806e+005
169	-2.789e+005
170	96720
171	22830
172	-66602
173	524.54
174	34652
175	12938
176	1.0432e+005
177	93683
178	1.0515e+005
179	78646
180	62665
181	70671
182	1.0778e+005
183	97667
184	76259
185	99620
186	62439
187	1.183e+005
188	1.051e+005
189	36268
190	3.1603e+005
191	-6.6932e+005
192	-2.2619e+006
193	-3.8544e+006
194	-5.0553e+006
195	-4.8133e+006
196	-3.5115e+006
197	-2.1383e+006
