Node,X,Y
        1., -0.25000000E-02,  0.00000000E+00,  0.50000000E-02
        2.,  0.25000000E-02,  0.30616170E-18,  0.50000000E-02
        3., -0.24519632E-02, -0.48772580E-03,  0.50000000E-02
        4., -0.23096988E-02, -0.95670858E-03,  0.50000000E-02
        5., -0.20786740E-02, -0.13889256E-02,  0.50000000E-02
        6., -0.17677670E-02, -0.17677670E-02,  0.50000000E-02
        7., -0.13889256E-02, -0.20786740E-02,  0.50000000E-02
        8., -0.95670858E-03, -0.23096988E-02,  0.50000000E-02
        9., -0.48772580E-03, -0.24519632E-02,  0.50000000E-02
       10.,  0.95868963E-19, -0.25000000E-02,  0.50000000E-02
       11.,  0.48772580E-03, -0.24519632E-02,  0.50000000E-02
       12.,  0.95670858E-03, -0.23096988E-02,  0.50000000E-02
       13.,  0.13889256E-02, -0.20786740E-02,  0.50000000E-02
       14.,  0.17677670E-02, -0.17677670E-02,  0.50000000E-02
       15.,  0.20786740E-02, -0.13889256E-02,  0.50000000E-02
       16.,  0.23096988E-02, -0.95670858E-03,  0.50000000E-02
       17.,  0.24519632E-02, -0.48772580E-03,  0.50000000E-02
       18.,  0.25000000E-02,  0.30616170E-18,  0.25000000E-02
       19.,  0.25000000E-02,  0.30616170E-18,  0.45000000E-02
       20.,  0.25000000E-02,  0.30616170E-18,  0.40000000E-02
       21.,  0.25000000E-02,  0.30616170E-18,  0.35000000E-02
       22.,  0.25000000E-02,  0.30616170E-18,  0.30000000E-02
       23., -0.25000000E-02,  0.00000000E+00,  0.25000000E-02
       24.,  0.24519632E-02, -0.48772580E-03,  0.25000000E-02
       25.,  0.23096988E-02, -0.95670858E-03,  0.25000000E-02
       26.,  0.20786740E-02, -0.13889256E-02,  0.25000000E-02
       27.,  0.17677670E-02, -0.17677670E-02,  0.25000000E-02
       28.,  0.13889256E-02, -0.20786740E-02,  0.25000000E-02
       29.,  0.95670858E-03, -0.23096988E-02,  0.25000000E-02
       30.,  0.48772580E-03, -0.24519632E-02,  0.25000000E-02
       31., -0.40203066E-18, -0.25000000E-02,  0.25000000E-02
       32., -0.48772580E-03, -0.24519632E-02,  0.25000000E-02
       33., -0.95670858E-03, -0.23096988E-02,  0.25000000E-02
       34., -0.13889256E-02, -0.20786740E-02,  0.25000000E-02
       35., -0.17677670E-02, -0.17677670E-02,  0.25000000E-02
       36., -0.20786740E-02, -0.13889256E-02,  0.25000000E-02
       37., -0.23096988E-02, -0.95670858E-03,  0.25000000E-02
       38., -0.24519632E-02, -0.48772580E-03,  0.25000000E-02
       39., -0.25000000E-02,  0.00000000E+00,  0.45000000E-02
       40., -0.25000000E-02,  0.00000000E+00,  0.40000000E-02
