ParetoIndex,LayerThickness_mm,FirstLayerThickness_mm,NozzleTemperature_C,PrintingSpeed_mm_s,DataType,PaperExperiment,DeltaT,DeltaB,DeltaS,GPR_Std_DeltaT,GPR_Std_DeltaB,GPR_Std_DeltaS
1,0.15,0.15,180.0,35.0,论文真实实验数据,1.0,39.36,29.21,30.19,0.21787260052670723,0.21553534376149444,0.43823329550537343
2,0.15,0.15,180.0,40.0,GPR代理预测,,47.368887292357314,32.527184953471576,29.432997317469543,5.926770513260511,5.8631903088452075,11.921224456178667
3,0.15,0.15,200.0,35.0,GPR代理预测,,47.00016081651668,33.30220888634345,30.005155799225072,5.926770513260512,5.8631903088452075,11.921224456178669
4,0.15,0.2,180.0,35.0,GPR代理预测,,47.61721411606732,32.53403320230122,29.254247172248462,5.926770513260512,5.8631903088452075,11.921224456178669
5,0.15,0.25,180.0,40.0,GPR代理预测,,55.48433647205285,34.481600165343906,22.17722550832063,5.942919791989626,5.879166344078482,11.95370743761087
6,0.2,0.15,180.0,35.0,GPR代理预测,,46.19326306510068,33.881113189988056,24.925268342063553,6.072044187174856,6.006905540457295,12.213430822264852
7,0.2,0.15,180.0,40.0,GPR代理预测,,51.056247685044596,35.02591842279193,22.19692470056381,6.504124310220454,6.4343504675752685,13.082525402248207
8,0.2,0.15,180.0,45.0,GPR代理预测,,54.608606105239694,36.31563164634215,16.836548486747393,5.949177492622333,5.885356914410716,11.966294301511736
9,0.2,0.15,200.0,35.0,GPR代理预测,,49.48225044900748,37.53265863756772,23.019387038120186,6.504124310220454,6.4343504675752685,13.082525402248207
10,0.2,0.15,200.0,40.0,GPR代理预测,,52.56642230659011,37.50207150376794,20.496819159459797,5.788356631029734,5.726261279605862,11.642816011945447
11,0.2,0.15,200.0,45.0,论文真实实验数据,4.0,54.46,36.66,12.95,0.21787014416459988,0.2155329137503323,0.4382283547296235
12,0.2,0.15,220.0,35.0,GPR代理预测,,51.302926514777724,41.63376508202503,18.387366601401396,5.949177492622333,5.885356914410716,11.966294301511736
13,0.2,0.15,220.0,45.0,GPR代理预测,,52.26687200670514,38.84564907315521,16.08764879163721,5.949177492622333,5.885356914410716,11.966294301511736
14,0.2,0.2,180.0,35.0,GPR代理预测,,51.10305803971189,35.92264357725412,21.66398115825631,6.504124310220454,6.4343504675752685,13.082525402248207
15,0.2,0.2,180.0,40.0,GPR代理预测,,56.56564494485651,34.03467001758275,19.641654916828063,5.788356631029734,5.726261279605862,11.642816011945447
16,0.2,0.2,180.0,45.0,GPR代理预测,,57.95532532897816,35.09209349203157,17.01643477144233,5.814525362827062,5.752149282916532,11.69545232117853
17,0.2,0.2,200.0,45.0,GPR代理预测,,55.15931443349487,35.27262000672676,21.65022868707661,5.7883566310297345,5.726261279605863,11.642816011945449
18,0.2,0.2,220.0,45.0,GPR代理预测,,50.49748524287123,36.98775393022357,24.16791795219931,6.504124310220454,6.4343504675752685,13.082525402248207
19,0.2,0.25,180.0,40.0,论文真实实验数据,6.0,58.92,34.23,10.05,0.21787014416457567,0.21553291375030834,0.43822835472957483
20,0.2,0.25,180.0,45.0,GPR代理预测,,56.59193610934932,35.19245124710854,15.63934389701639,5.949177492622333,5.885356914410715,11.966294301511734
21,0.25,0.15,180.0,35.0,GPR代理预测,,51.540278985895064,37.69174293287837,21.22018513587495,6.878708018637763,6.804915780358981,13.835970546729415
22,0.25,0.15,180.0,40.0,GPR代理预测,,53.799797120556214,37.397398412148576,18.848398172003755,6.688165833989928,6.616417661872059,13.452710194995658
23,0.25,0.15,200.0,35.0,GPR代理预测,,51.376658714025865,40.41485143314119,18.413818239239756,6.688165833989928,6.616417661872059,13.452710194995658
24,0.25,0.15,200.0,40.0,GPR代理预测,,52.25354252283702,41.628954958535125,13.809648694877836,5.927972790928581,5.864379688922637,11.92364274146703
25,0.25,0.15,200.0,45.0,GPR代理预测,,54.14379018660021,38.67276612241244,13.443568350110036,5.82638877326983,5.763885427075018,11.719314621631632
26,0.25,0.15,220.0,35.0,GPR代理预测,,50.92634371661646,43.13346526768924,15.316173038014588,5.949757409799233,5.885930610450393,11.96746075849136
27,0.25,0.15,220.0,40.0,论文真实实验数据,7.0,50.18,46.87,9.26,0.21787137910565288,0.2155341354433939,0.438230838714696
28,0.25,0.15,220.0,45.0,GPR代理预测,,51.50207493918133,41.55825869645875,14.205150504793114,5.949757409799233,5.885930610450393,11.96746075849136
29,0.25,0.2,220.0,40.0,GPR代理预测,,51.29834541543882,43.80370899633011,14.644793195734913,5.927972790928581,5.864379688922637,11.92364274146703
30,0.25,0.2,220.0,45.0,GPR代理预测,,51.898061248309084,39.48334845234357,18.284489949675937,6.688165833989928,6.616417661872059,13.452710194995658
31,0.25,0.25,180.0,40.0,GPR代理预测,,56.68813776060562,37.97726323828274,12.498162091070068,5.82638877326983,5.763885427075018,11.719314621631632
32,0.25,0.25,200.0,45.0,GPR代理预测,,54.30369089901455,37.35447254750481,18.901362518452352,6.688165833989928,6.616417661872059,13.452710194995658
